city,trip
"Albany, NY","['Akron, OH', 'Albany, GA', 'Allentown, PA', 'Altoona, PA', 'Amarillo, TX', 'Annapolis, MD', 'Athens, GA', 'Atlanta, GA', 'Atlantic City, NJ', 'Augusta, ME', 'Austin, TX', 'Baltimore, MD', 'Bangor, ME', 'Batavia, NY', 'Baton Rouge, LA', 'Bennington, VT', 'Binghamton, NY', 'Bloomington, IN', 'Boston, MA', 'Brattleboro, VT', 'Brentwood, NY', 'Bridgeport, CT', 'Buffalo, NY', 'Buffalo, WY', 'Burlington, VT', 'Cambridge, OH', 'Camden, SC', 'Charlotte, NC', 'Charlottesville, VA', 'Chicago 95th & Dan Ryan, IL', 'Chicago, IL', 'Cincinnati, OH', 'Cleveland, OH', 'Colonial Heights, VA', 'Columbia, SC', 'Columbus, GA', 'Columbus, OH', 'Concord, NH', 'Corning, NY', 'Cortland, NY', 'Dallas, TX', 'Dayton, OH', 'Daytona Beach, FL', 'Delhi, NY', 'Denver, CO', 'Detroit, MI', 'Dover, DE', 'Durham, NC', 'Easton, PA', 'El Paso, TX', 'Elmira, NY', 'Erie, PA', 'Fayetteville, AR', 'Fayetteville, NC', 'Flint, MI', 'Florence, SC', 'Fort Lauderdale, FL', 'Fort Walton Beach, FL', 'Fort Wayne, IN', 'Fort Worth, TX', 'Framingham, MA', 'Frederick, MD', 'Fredericksburg, VA', 'Gainesville, FL', 'Glens Falls, NY', 'Grand Rapids, MI', 'Greeneville, TN', 'Greensboro, GA', 'Greensboro, NC', 'Greenville, SC', 'Hackettstown, NJ', 'Hamilton, ON', 'Hanover, NH', 'Harrisburg, PA', 'Hartford, CT', 'Hempstead, NY', 'Highmount, NY', 'Houston, TX', 'Indianapolis, IN', 'Iowa City, IA', 'Ithaca, NY', 'Jackson, TN', 'Jacksonville, FL', 'Jacksonville, NC', 'Jefferson City, MO', 'Kansas City, MO', 'King of Prussia, PA', 'Kingston, ON', 'Kitchener, ON', 'Knoxville, TN', 'Lake Placid, NY', 'Las Vegas, NV', 'Lexington, KY', 'Los Angeles, CA', 'Louisville, KY', 'Madison, WI', 'Manchester, NH', 'Manchester, VT', 'Manhattan, KS', 'Maryville, MO', 'Massena, NY', 'Mcallen, TX', 'Melville, NY', 'Memphis, TN', 'Miami, FL', 'Middlebury, VT', 'Middletown, NY', 'Milwaukee, WI', 'Mineola, NY', 'Minneapolis, MN', 'Mobile, AL', 'Montpelier, VT', 'Montreal, QC', 'Mount Laurel, NJ', 'Mount Pocono, PA', 'Myrtle Beach, SC', 'Nashville, TN', 'New Britain, CT', 'New Brunswick, NJ', 'New Carrollton, MD', 'New Haven, CT', 'New Orleans, LA', 'New Paltz, NY', 'New York, NY', 'Newark, NJ', 'Newburgh, NY', 'Niagara Falls, NY', 'Niagara Falls, ON', 'Norfolk-Virginia Beach, VA', 'North Charleston, SC', 'Northampton, MA', 'Oklahoma City, OK', 'Olean, NY', 'Omaha, NE', 'Opelika, AL', 'Orangeburg, SC', 'Orlando, FL', 'Ottawa, ON', 'Perry, FL', 'Petersburg, VA', 'Philadelphia, PA', 'Phoenix-Tempe, AZ', 'Pittsburgh, PA', 'Plattsburgh, NY', 'Portland, ME', 'Portland, OR', 'Portsmouth, NH', 'Providence, RI', 'Raleigh, NC', 'Richmond, VA', 'Ridgewood, NJ', 'Roanoke, VA', 'Rochester, NY', 'Ronkonkoma, NY', 'Rutland, VT', 'Sacramento, CA', 'Saint Paul, MN', 'Salem, OR', 'Salt Lake City, UT', 'San Antonio, TX', 'San Diego, CA', 'San Francisco, CA', 'Saratoga Springs, NY', 'Savannah, GA', 'Scranton, PA', 'Seattle, WA', 'Silver Spring, MD', 'Spartanburg, SC', 'Springfield, MA', 'Springfield, MO', 'St Louis, MO', 'St. Albans, VT', 'State College, PA', 'Storrs, CT', 'Stroudsburg, PA', 'Sumter, SC', 'Syracuse, NY', 'Tacoma, WA', 'Tallahassee, FL', 'Tampa, FL', 'Toronto, ON', 'Tupelo, MS', 'Tuscaloosa, AL', 'Warner Robins, GA', 'Washington, D.C.', 'Watertown, NY', 'Wells, ME', 'West Palm Beach, FL', 'White Plains, NY', 'White River Junction, VT', 'Wildwood, GA', 'Wilkes-Barre Township, PA', 'Wilkes-Barre, PA', 'Williamsport, PA', 'Wilmington-Newark, DE', 'Windsor, ON', 'Winston-Salem, NC', 'Wisconsin Dells, WI', 'Woodbridge, VA', 'Woodstock, NY', 'Worcester, MA', 'York, PA']"
"Albemarle, NC","['Asheville, NC', 'Atlanta, GA', 'New York, NY', 'Salisbury, MD', 'Washington, D.C.', 'Wilmington, NC']"
Albena,[]
Albenga,[]
Albergaria-a-Velha,"['Francisco Sá Carneiro Airport', 'Porto']"
Alberobello,"['Rome', 'Salerno']"
"Albert Lea, MN","['Bethany, MO', 'Brownsville, TX', 'Chicago, IL', 'Corpus Christi, TX', 'Dallas, TX', 'Duluth, MN', 'Holbrook, AZ', 'Houston, TX', 'Kansas City, KS', 'Lamoni, IA', 'Laredo, TX', 'Los Angeles, CA', 'Louisville, KY', 'Minneapolis, MN', 'Rochester, MN', 'San Antonio, TX']"
Albissola Marina,[]
Albufeira,"['Almada', 'Aveiro', 'Braga', 'Cascais', 'Coimbra', 'Evora', 'Faro', 'Fatima', 'Figueira da Foz', 'Francisco Sá Carneiro Airport', 'Huelva', 'Lagos', 'Leiria', 'Lisbon', 'Lisbon Airport', 'Madrid', 'Marbella', 'Málaga', 'Nazare', 'Porto', 'Seville', 'Sintra', 'Viseu']"
"Albuquerque, NM","['Abilene, TX', 'Amarillo, TX', 'Ann Arbor, MI', 'Atlanta, GA', 'Atlantic City, NJ', 'Austin, TX', 'Bakersfield, CA', 'Baltimore, MD', 'Barstow, CA', 'Baton Rouge, LA', 'Beaumont, TX', 'Benson, AZ', 'Big Spring, TX', 'Biloxi, MS', 'Birmingham, AL', 'Bismarck, ND', 'Boise, ID', 'Boston, MA', 'Bozeman, MT', 'Brownsville, TX', 'Bryan, TX', 'Buffalo, NY', 'Calexico, CA', 'Camp Verde, AZ', 'Carbondale, IL', 'Carlsbad, NM', 'Cedar City, UT', 'Charleston, WV', 'Charlotte, NC', 'Chicago 95th & Dan Ryan, IL', 'Chicago, IL', 'Cincinnati, OH', 'Cleveland, OH', 'Clovis, NM', 'Colorado Springs, CO', 'Columbia, MO', 'Columbia, SC', 'Columbus, OH', 'Conroe, TX', 'Corpus Christi, TX', 'Crossville, TN', 'Dallas, TX', 'Davenport, IA', 'Dayton, OH', 'Delano, CA', 'Deming, NM', 'Denton, TX', 'Denver, CO', 'Des Moines, IA', 'Detroit, MI', 'Dickinson, ND', 'Dothan, AL', 'Duluth, MN', 'Durham, NC', 'Eden, TX', 'El Paso, TX', 'Eloy, AZ', 'Eugene, OR', 'Fayetteville, AR', 'Fillmore, UT', 'Flagstaff, AZ', 'Fort Collins, CO', 'Fort Lauderdale, FL', 'Fort Myers, FL', 'Fort Wayne, IN', 'Fort Worth, TX', 'Fredericksburg, TX', 'Fresno, CA', 'Gallup, NM', 'Glenwood Springs, CO', 'Goodland, KS', 'Green Bay, WI', 'Greeneville, TN', 'Greensboro, NC', 'Greenville, SC', 'Harrisburg, PA', 'Hartford, CT', 'Hidalgo, TX', 'Holbrook, AZ', 'Houston, TX', 'Idaho Falls, ID', 'Indianapolis, IN', 'Jackson, MI', 'Jackson, MS', 'Jacksonville, FL', 'Jonesboro, AR', 'Joplin, MO', 'Kalamazoo, MI', 'Kalispell, MT', 'Kansas City, KS', 'Kansas City, MO', 'Kingman, AZ', 'Knoxville, TN', 'Lafayette, LA', 'Laredo, TX', 'Las Cruces, NM', 'Las Vegas, NV', 'Lawton, OK', 'Lexington, KY', 'Lincoln, NE', 'Long Beach, CA', 'Lordsburg, NM', 'Los Angeles, CA', 'Louisville, KY', 'Loveland, CO', 'Lubbock, TX', 'Madison, WI', 'Mcallen, TX', 'Memphis, TN', 'Mesa, AZ', 'Miami, FL', 'Midland, TX', 'Milwaukee, WI', 'Minneapolis, MN', 'Mobile, AL', 'Modesto, CA', 'Monterrey, MX', 'Myrtle Beach, SC', 'Naperville, IL', 'Nashville, TN', 'New Orleans, LA', 'New Paltz, NY', 'New York, NY', 'Newark, NJ', 'Newton, KS', 'Norfolk-Virginia Beach, VA', 'North Charleston, SC', 'Oakland / Berkeley / East Bay, CA', 'Oceanside, CA', 'Ogallala, NE', 'Ogden, UT', 'Oklahoma City, OK', 'Olympia, WA', 'Omaha, NE', 'Ontario / Montclair / Claremont, CA', 'Orange County-Anaheim-Santa Ana, CA', 'Orlando, FL', 'Palm Springs / Indio / Coachella Valley, CA', 'Panama City, FL', 'Pasco, WA', 'Philadelphia, PA', 'Phoenix-Tempe, AZ', 'Pittsburgh, PA', 'Plainview, TX', 'Plano, TX', 'Pocatello, ID', 'Portales, NM', 'Portland, ME', 'Portland, OR', 'Provo, UT', 'Pueblo, CO', 'Raleigh, NC', 'Redding, CA', 'Reno, NV', 'Richmond, VA', 'Riverside, CA', 'Roanoke, VA', 'Roswell, NM', 'Ruidoso Downs, NM', 'Ruston, LA', 'Sacramento, CA', 'Saint Paul, MN', 'Salem, OR', 'Salt Lake City, UT', 'San Angelo, TX', 'San Antonio, TX', 'San Bernardino, CA', 'San Diego, CA', 'San Fernando, CA', 'San Francisco, CA', 'San Jose, CA', 'San Luis Obispo, CA', 'San Ysidro, CA', 'Savannah, GA', 'Seattle, WA', 'Sherman, TX', 'Show Low, AZ', 'Shreveport, LA', 'Sioux Falls, SD', 'Slidell, LA', 'South Bend, IN', 'Southfield, MI', 'Spartanburg, SC', 'Spokane, WA', 'Springfield, MO', 'St Louis, MO', 'St. George, UT', 'Stockton, CA', 'Syracuse, NY', 'Tallahassee, FL', 'Tampa, FL', 'Temple, TX', 'Texarkana, TX', 'Tijuana,  MX', 'Titusville, FL', 'Toledo, OH', 'Topeka, KS', 'Tucson, AZ', 'Tucumcari, NM', 'Tulsa, OK', 'Tyler, TX', 'Vallejo, CA', 'Van Buren, AR', 'Victorville, CA', 'Waco, TX', 'Washington, D.C.', 'Wichita Falls, TX', 'Wichita, KS', 'Willcox, AZ', 'Williams, AZ', 'Wilmington-Newark, DE', 'Winston-Salem, NC', 'Worcester, MA', 'Yuma, AZ']"
